Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
36,0.0,"[0.9883741935282828, 0.9861167765119446, 0.9851738392927859, 0.9847106966203786, 0.9844818795357004, 0.9843674709933611]","[0.9831613001966437, 0.9842171909066842, 0.9842456017125067, 0.9842530624510221, 0.9842530624510221, 0.9842530624510221]","[0.0001999414238821957, 9.997071194109785e-05, 4.9985355970548926e-05, 2.4992677985274463e-05, 1.2496338992637231e-05, 6.248169496318616e-06]",0.9842530624510221
37,0.02200007438659668,"[0.9899152196685952, 0.987709299500001, 0.9867345843183719, 0.9862634374262325, 0.9860340101758984, 0.9859192965507318]","[0.9850136189680166, 0.9856587255217807, 0.9857756533107481, 0.9858045829255646, 0.9858045829255646, 0.9858045829255646]","[0.00019996999078979825, 9.998499539489913e-05, 4.999249769744956e-05, 2.499624884872478e-05, 1.249812442436239e-05, 6.249062212181195e-06]",0.9858045829255646
38,0.0,"[0.9879104485295528, 0.9855498303981942, 0.984512978413032, 0.9840159313396025, 0.9837783225853642, 0.9836617029858007]","[0.9825727893860308, 0.9833639405033412, 0.9834905650290032, 0.9835354216473217, 0.9835450833862374, 0.9835450833862374]","[0.00019985814803943924, 9.992907401971962e-05, 4.996453700985981e-05, 2.4982268504929905e-05, 1.2491134252464952e-05, 6.245567126232476e-06]",0.9835450833862374
39,0.013000011444091797,"[0.9897447142552624, 0.9875034186410715, 0.986475669988435, 0.9859901860527626, 0.9857503856297734, 0.9856348172999481]","[0.9850893059252513, 0.9853778259415947, 0.9855047021170898, 0.9855047021170898, 0.9855132739656053, 0.9855200948189233]","[0.00019989284137505282, 9.994642068752641e-05, 4.9973210343763204e-05, 2.4986605171881602e-05, 1.2493302585940801e-05, 6.2466512929704005e-06]",0.9855200948189233
40,0.004999876022338867,"[0.9892921380895218, 0.9870289398780185, 0.986052915541196, 0.9855796347967656, 0.9853499688069997, 0.9852357684466994]","[0.984168465717369, 0.9849920527180644, 0.9850992162359993, 0.9851170613971089, 0.985121568086399, 0.985121568086399]","[0.00019998474567983635, 9.999237283991817e-05, 4.999618641995909e-05, 2.4998093209979543e-05, 1.2499046604989772e-05, 6.249523302494886e-06]",0.985121568086399
41,0.017999887466430664,"[0.9891706000273507, 0.9867714329531033, 0.9857494851989448, 0.9852646123812319, 0.9850257986452484, 0.9849099543321431]","[0.983865176266774, 0.9846691698536413, 0.9847483248798289, 0.9847869849092649, 0.9847869849092649, 0.9847948567327268]","[0.00019997318887908947, 9.998659443954474e-05, 4.999329721977237e-05, 2.4996648609886184e-05, 1.2498324304943092e-05, 6.249162152471546e-06]",0.9847948567327268
42,0.0,"[0.9890172866766382, 0.9866339551105581, 0.9855995566852928, 0.985111573053184, 0.9848760031354126, 0.9847611447722863]","[0.9836672590248249, 0.9844936678519416, 0.9846135762714274, 0.9846333079614604, 0.9846432951561958, 0.9846473884917397]","[0.00019994766929568492, 9.997383464784246e-05, 4.998691732392123e-05, 2.4993458661960614e-05, 1.2496729330980307e-05, 6.248364665490154e-06]",0.9846473884917397
43,0.012000083923339844,"[0.98847146230477, 0.9862246541699216, 0.9852213974235378, 0.9847428796359892, 0.9845117386760349, 0.9844022016792501]","[0.9833303002272444, 0.9842103331528311, 0.9842282583250257, 0.9842721019601901, 0.9842904244541154, 0.9842950437147561]","[0.00019982908717699365, 9.991454358849683e-05, 4.995727179424841e-05, 2.4978635897124206e-05, 1.2489317948562103e-05, 6.244658974281052e-06]",0.9842950437147561
44,0.003999948501586914,"[0.9889255503011662, 0.986398898457736, 0.9853566018445942, 0.9848654174809538, 0.9846262174771938, 0.9845086150002883]","[0.9831357829475512, 0.9841480814846525, 0.9843610940291159, 0.9843769917166612, 0.9843910125233827, 0.9843910125233827]","[0.00019998462830339968, 9.999231415169984e-05, 4.999615707584992e-05, 2.499807853792496e-05, 1.249903926896248e-05, 6.24951963448124e-06]",0.9843910125233827
45,0.026999950408935547,"[0.9904344151551409, 0.9881519442245092, 0.9871130091511449, 0.9866361552303553, 0.986407856953588, 0.9862955020179595]","[0.9854885599508516, 0.9860058399853993, 0.9861390340520116, 0.9861773343383495, 0.9861811255853633, 0.9861837048499722]","[0.00019999067616779584, 9.999533808389792e-05, 4.999766904194896e-05, 2.499883452097448e-05, 1.249941726048724e-05, 6.24970863024362e-06]",0.9861837048499722
46,0.019999980926513672,"[0.9905437086731841, 0.9883229405674671, 0.9873540410257721, 0.9868871927407056, 0.9866537685981721, 0.9865377707784471]","[0.98588259296258, 0.9863018214515583, 0.9864203444556389, 0.9864203444556389, 0.9864203444556389, 0.9864223435409297]","[0.00019999544306798748, 9.999772153399374e-05, 4.999886076699687e-05, 2.4999430383498435e-05, 1.2499715191749217e-05, 6.249857595874609e-06]",0.9864223435409297
47,0.0,"[0.9898775045053938, 0.987227480547488, 0.9860390411048646, 0.9854730801486226, 0.9851952119308954, 0.9850588323447733]","[0.9841876798465393, 0.984749320907009, 0.9848979872786878, 0.984912261439591, 0.9849207162453324, 0.9849230332887006]","[0.00019982066448832436, 9.991033224416218e-05, 4.995516612208109e-05, 2.4977583061040545e-05, 1.2488791530520272e-05, 6.244395765260136e-06]",0.9849230332887006
48,0.01399993896484375,"[0.9886581784518643, 0.9865491984038122, 0.9856610274953199, 0.9852482294861971, 0.9850459896049311, 0.9849454023531088]","[0.9839857676592334, 0.9847331443775553, 0.9848215177592003, 0.9848437497236646, 0.9848437497236646, 0.9848452989798735]","[0.00019981738426457247, 9.990869213228624e-05, 4.995434606614312e-05, 2.497717303307156e-05, 1.248858651653578e-05, 6.24429325826789e-06]",0.9848452989798735
49,0.003999948501586914,"[0.9892503059880879, 0.9868887602378774, 0.9859013847072319, 0.9854288962663131, 0.9852044848550242, 0.9850936762489054]","[0.9839711443373489, 0.9847767946581253, 0.9849350837040076, 0.9849752668169531, 0.9849815906036027, 0.9849835438750352]","[0.0001999201592388795, 9.996007961943976e-05, 4.998003980971988e-05, 2.499001990485994e-05, 1.249500995242997e-05, 6.247504976214985e-06]",0.9849835438750352
50,0.023000001907348633,"[0.9887898597655302, 0.9866180845480985, 0.9856668100235548, 0.9852080118893101, 0.9849813976670018, 0.9848686515192858]","[0.9841156960188713, 0.9846669278938893, 0.9847478408127448, 0.9847526120486332, 0.9847559053715699, 0.9847559053715699]","[0.00019986830884616226, 9.993415442308113e-05, 4.9967077211540565e-05, 2.4983538605770282e-05, 1.2491769302885141e-05, 6.245884651442571e-06]",0.9847559053715699
51,0.009000062942504883,"[0.9892509809303777, 0.986827914506252, 0.9857937464059534, 0.9852922486750453, 0.985052771289048, 0.9849345736176366]","[0.9834599168922349, 0.9846607671034104, 0.9847788440486156, 0.9847983854289292, 0.9848163759462258, 0.9848163759462258]","[0.00019997333182792076, 9.998666591396038e-05, 4.999333295698019e-05, 2.4996666478490095e-05, 1.2498333239245048e-05, 6.249166619622524e-06]",0.9848163759462258
52,0.007999897003173828,"[0.988855966280369, 0.9865018394311942, 0.9855111427763777, 0.9850437565486128, 0.9848199679524747, 0.984711209352564]","[0.983364324494352, 0.9844402525784529, 0.984552117632125, 0.9845837600650073, 0.9846007289854917, 0.9846040446050452]","[0.00019994899175969328, 9.997449587984664e-05, 4.998724793992332e-05, 2.499362396996166e-05, 1.249681198498083e-05, 6.248405992490415e-06]",0.9846040446050452
53,0.012000083923339844,"[0.9895838235138641, 0.987258760909256, 0.9862240214555673, 0.985740934645281, 0.9854998526419964, 0.985380891083923]","[0.9845752819489126, 0.9851375771427158, 0.9852578478349944, 0.9852578478349944, 0.9852619295258501, 0.9852619295258501]","[0.00019996511323678835, 9.998255661839418e-05, 4.999127830919709e-05, 2.4995639154598544e-05, 1.2497819577299272e-05, 6.248909788649636e-06]",0.9852619295258501
54,0.018000125885009766,"[0.9894748782424525, 0.9871276159353592, 0.9861028218383053, 0.9856269933008387, 0.9853911359225437, 0.9852744219096565]","[0.9844702894388498, 0.9849968310630423, 0.9851511647633717, 0.9851511647633717, 0.9851564535752575, 0.9851591727528266]","[0.0001999612248352375, 9.998061241761875e-05, 4.9990306208809374e-05, 2.4995153104404687e-05, 1.2497576552202344e-05, 6.248788276101172e-06]",0.9851591727528266
