Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
24,0.017000198364257812,4.879305729139942e-07,"[0, 0.0004996409066639301, 0.00024982045333196506, 0.00012491022666598253, 6.245511333299126e-05, 3.122755666649563e-05, 1.5613778333247816e-05, 7.806889166623908e-06, 3.903444583311954e-06, 1.951722291655977e-06, 9.758611458279885e-07, 9.758611458279885e-07]","[0.9848227699965807, 0.9884238936523516, 0.9864080074801399, 0.9855811544688521, 0.9851950428780345, 0.9850065361259301, 0.9849145525272369, 0.9848686612619086, 0.9848457156292444, 0.9848342428129131, 0.9848285064047465, 0.9848285064047465]"
25,0.015000104904174805,4.877866379960486e-07,"[0, 0.0004994935173079538, 0.0002497467586539769, 0.00012487337932698845, 6.243668966349422e-05, 3.121834483174711e-05, 1.5609172415873556e-05, 7.804586207936778e-06, 3.902293103968389e-06, 1.9511465519841945e-06, 9.755732759920973e-07, 9.755732759920973e-07]","[0.9836370493222668, 0.9877999996924416, 0.9854453800522691, 0.9845015812674391, 0.9840635635082193, 0.9838492213696526, 0.98374313534596, 0.9836900923341132, 0.9836635708281898, 0.9836503100752287, 0.9836436796987479, 0.9836436796987479]"
26,0.016000032424926758,4.880632042284938e-07,"[0, 0.0004997767211299776, 0.0002498883605649888, 0.0001249441802824944, 6.24720901412472e-05, 3.12360450706236e-05, 1.56180225353118e-05, 7.8090112676559e-06, 3.90450563382795e-06, 1.952252816913975e-06, 9.761264084569875e-07, 9.761264084569875e-07]","[0.9855695377000174, 0.9892778753407057, 0.9873277047268485, 0.9864296482209385, 0.9859965712059852, 0.985782207730127, 0.9856758727150724, 0.9856227052075449, 0.9855961214537804, 0.9855828295768989, 0.9855761836384577, 0.9855761836384577]"
27,0.0,4.880923031023401e-07,"[0, 0.0004998065183767962, 0.0002499032591883981, 0.00012495162959419906, 6.247581479709953e-05, 3.1237907398549765e-05, 1.5618953699274882e-05, 7.809476849637441e-06, 3.9047384248187206e-06, 1.9523692124093603e-06, 9.761846062046801e-07, 9.761846062046801e-07]","[0.984920166344615, 0.9895383744644878, 0.986963039418829, 0.9858970964581276, 0.9853994422457149, 0.9851580859179148, 0.9850390702882355, 0.9849795624733956, 0.9849498085659752, 0.9849349316122653, 0.9849275076812203, 0.9849275076812203]"
28,0.009999990463256836,4.882114985924623e-07,"[0, 0.0004999285745586814, 0.0002499642872793407, 0.00012498214363967035, 6.249107181983518e-05, 3.124553590991759e-05, 1.5622767954958794e-05, 7.811383977479397e-06, 3.9056919887396985e-06, 1.9528459943698493e-06, 9.764229971849246e-07, 9.764229971849246e-07]","[0.9839991809807803, 0.9883525549636235, 0.9859617237298621, 0.9849151845157251, 0.9844446488866888, 0.9842187585168883, 0.9841089697488344, 0.9840540753648074, 0.9840266281727938, 0.9840129045767875, 0.9840060427787845, 0.9840060427787845]"
29,0.002000093460083008,4.882317215870697e-07,"[0, 0.0004999492829051593, 0.00024997464145257967, 0.00012498732072628983, 6.249366036314492e-05, 3.124683018157246e-05, 1.562341509078623e-05, 7.811707545393115e-06, 3.905853772696557e-06, 1.9529268863482787e-06, 9.764634431741393e-07, 9.764634431741393e-07]","[0.984203604258987, 0.9883322575718303, 0.9860597597266145, 0.9850882733403207, 0.9846410287096311, 0.9844222008313652, 0.9843127868922316, 0.9842580799226653, 0.984230726437882, 0.984217156778544, 0.9842103805187656, 0.9842103805187656]"
30,0.006999969482421875,4.881150064533486e-07,"[0, 0.000499829766608229, 0.0002499148833041145, 0.00012495744165205724, 6.247872082602862e-05, 3.123936041301431e-05, 1.5619680206507155e-05, 7.809840103253578e-06, 3.904920051626789e-06, 1.9524600258133944e-06, 9.762300129066972e-07, 9.762300129066972e-07]","[0.9845442695297916, 0.988495553390011, 0.9863383291381485, 0.985417073655115, 0.9849689731089117, 0.9847543054881193, 0.984648002652357, 0.984595992223532, 0.9845701308766619, 0.9845572002032273, 0.9845507348665099, 0.9845507348665099]"
31,0.023000001907348633,4.881573332462726e-07,"[0, 0.0004998731092441831, 0.00024993655462209155, 0.00012496827731104578, 6.248413865552289e-05, 3.1242069327761444e-05, 1.5621034663880722e-05, 7.810517331940361e-06, 3.9052586659701805e-06, 1.9526293329850903e-06, 9.763146664925451e-07, 9.763146664925451e-07]","[0.9854351354744016, 0.9892934475034045, 0.9872060116070618, 0.9862993115831076, 0.9858666481706911, 0.9856508918225464, 0.9855430136484741, 0.9854890745614379, 0.98546210501792, 0.985448620246161, 0.9854418778602811, 0.9854418778602811]"
32,0.016000032424926758,4.881311556763531e-07,"[0, 0.0004998463034125856, 0.0002499231517062928, 0.0001249615758531464, 6.24807879265732e-05, 3.12403939632866e-05, 1.56201969816433e-05, 7.81009849082165e-06, 3.905049245410825e-06, 1.9525246227054125e-06, 9.762623113527063e-07, 9.762623113527063e-07]","[0.9860229232533742, 0.989973588439854, 0.9878774748860981, 0.986923123111448, 0.9864635095142313, 0.9862390364730009, 0.9861302907551242, 0.9860763632150518, 0.9860496432342133, 0.9860362832437936, 0.9860296032485838, 0.9860296032485838]"
33,0.021999835968017578,4.878608996011241e-07,"[0, 0.0004995695611915511, 0.00024978478059577554, 0.00012489239029788777, 6.244619514894388e-05, 3.122309757447194e-05, 1.561154878723597e-05, 7.805774393617986e-06, 3.902887196808993e-06, 1.9514435984044964e-06, 9.757217992022482e-07, 9.757217992022482e-07]","[0.9847232732555518, 0.9885177406934511, 0.9865349113887624, 0.9856002485041462, 0.985154219340451, 0.9849365041942288, 0.9848288163005675, 0.9847755446618404, 0.9847493911741664, 0.9847363322148589, 0.9847298027352053, 0.9847298027352053]"
34,0.01699995994567871,4.88012430473104e-07,"[0, 0.0004997247288044585, 0.00024986236440222926, 0.00012493118220111463, 6.246559110055731e-05, 3.123279555027866e-05, 1.561639777513933e-05, 7.808198887569664e-06, 3.904099443784832e-06, 1.952049721892416e-06, 9.76024860946208e-07, 9.76024860946208e-07]","[0.98490087620278, 0.9889530395352409, 0.9867978157605263, 0.9858306473429845, 0.9853573823575401, 0.9851255118342619, 0.9850116697834244, 0.9849557158925517, 0.984928237727687, 0.9849145569652336, 0.9849077165840069, 0.9849077165840069]"
35,0.020999908447265625,4.881673594990408e-07,"[0, 0.0004998833761270178, 0.0002499416880635089, 0.00012497084403175445, 6.248542201587722e-05, 3.124271100793861e-05, 1.5621355503969306e-05, 7.810677751984653e-06, 3.905338875992326e-06, 1.952669437996163e-06, 9.763347189980816e-07, 9.763347189980816e-07]","[0.9840864232625461, 0.9882749010081281, 0.9859567333648389, 0.984993004396382, 0.9845382022130879, 0.9843123127378166, 0.9841993680001816, 0.9841428956313634, 0.984114659446955, 0.9841005413547507, 0.9840934823086478, 0.9840934823086478]"
36,0.009999990463256836,4.881382418998919e-07,"[0, 0.0004998535597054893, 0.00024992677985274464, 0.00012496338992637232, 6.248169496318616e-05, 3.124084748159308e-05, 1.562042374079654e-05, 7.81021187039827e-06, 3.905105935199135e-06, 1.9525529675995675e-06, 9.762764837997838e-07, 9.762764837997838e-07]","[0.9842530624510223, 0.9881960743156272, 0.9860274395651627, 0.9851289987490647, 0.9846882969305524, 0.9844706796907872, 0.9843618710709047, 0.9843074667609635, 0.9842802646059927, 0.9842666635285072, 0.9842598629897644, 0.9842598629897644]"
37,0.020999908447265625,4.882079853266559e-07,"[0, 0.0004999249769744957, 0.00024996248848724783, 0.00012498124424362392, 6.249062212181196e-05, 3.124531106090598e-05, 1.562265553045299e-05, 7.811327765226495e-06, 3.905663882613247e-06, 1.9528319413066237e-06, 9.764159706533119e-07, 9.764159706533119e-07]","[0.9858045829255646, 0.9897471886629222, 0.9876258948887257, 0.986692539792924, 0.9862424428468529, 0.9860235128862086, 0.9859140479058867, 0.9858593154157259, 0.9858319491706449, 0.985818266048105, 0.9858114244868343, 0.9858114244868343]"
38,0.0,4.879349317369122e-07,"[0, 0.0004996453700985981, 0.00024982268504929905, 0.00012491134252464952, 6.245567126232476e-05, 3.122783563116238e-05, 1.561391781558119e-05, 7.806958907790595e-06, 3.903479453895298e-06, 1.951739726947649e-06, 9.758698634738244e-07, 9.758698634738244e-07]","[0.9835450833862377, 0.9877403760568426, 0.9854623050327949, 0.9844688000569319, 0.9839939459414807, 0.9837672044972506, 0.9836561439417439, 0.9836006136639904, 0.9835728485251144, 0.9835589659556757, 0.9835520246709564, 0.9835520246709564]"
39,0.0,4.880196322633126e-07,"[0, 0.0004997321034376321, 0.00024986605171881603, 0.00012493302585940802, 6.246651292970401e-05, 3.1233256464852004e-05, 1.5616628232426002e-05, 7.808314116213001e-06, 3.9041570581065005e-06, 1.9520785290532503e-06, 9.760392645266251e-07, 9.760392645266251e-07]","[0.9855200948189238, 0.9895817844917685, 0.987420994139594, 0.9864343309614152, 0.9859695165392525, 0.9857399894205376, 0.9856296413165645, 0.985574868067744, 0.9855474814433336, 0.9855337881311285, 0.9855269414750262, 0.9855269414750262]"
