Instance,Runtime,K,Optimal_Value
11,"{1: 0.007999897003173828, 2: 0.0009999275207519531, 5: 0.002000093460083008, 10: 0.003000020980834961}",2,"{1: 0.6238934175515555, 2: 0.6979134866186782, 5: 0.6979134866186782, 10: 0.6979134866186782}"
12,"{1: 0.009999990463256836, 2: 0.002000093460083008, 5: 0.003000020980834961, 10: 0.002000093460083008}",2,"{1: 0.6128781941669699, 2: 0.6937936358040542, 5: 0.6937936358040542, 10: 0.6937936358040542}"
13,"{1: 0.00599980354309082, 2: 0.013000011444091797, 5: 0.002000093460083008, 10: 0.002000093460083008}",3,"{1: 0.29917068520107803, 2: 0.34438283717439266, 5: 0.36158988455929675, 10: 0.36158988455929675}"
14,"{1: 0.009999990463256836, 2: 0.01699995994567871, 5: 0.0010001659393310547, 10: 0.0019998550415039062}",10,"{1: 0.5126429548780473, 2: 0.5967025916444167, 5: 0.6436438297880819, 10: 0.643643829788082}"
15,"{1: 0.010999917984008789, 2: 0.009000062942504883, 5: 0.003000020980834961, 10: 0.002000093460083008}",3,"{1: 0.5171097916937513, 2: 0.6271872842888628, 5: 0.630119128538792, 10: 0.630119128538792}"
16,"{1: 0.010999917984008789, 2: 0.01699995994567871, 5: 0.003000020980834961, 10: 0.004999876022338867}",4,"{1: 0.5634031536123149, 2: 0.6541185366621931, 5: 0.703063303616732, 10: 0.703063303616732}"
17,"{1: 0.008999824523925781, 2: 0.02200007438659668, 5: 0.003000020980834961, 10: 0.003000020980834961}",5,"{1: 0.5096404334498239, 2: 0.5983650567024612, 5: 0.6529342845347634, 10: 0.6529342845347634}"
18,"{1: 0.004999876022338867, 2: 0.003000020980834961, 5: 0.003000020980834961, 10: 0.003000020980834961}",2,"{1: 0.5192165501049865, 2: 0.5719687063811433, 5: 0.5719687063811434, 10: 0.5719687063811434}"
19,"{1: 0.009999990463256836, 2: 0.01399993896484375, 5: 0.003000020980834961, 10: 0.003999948501586914}",4,"{1: 0.6429737470941655, 2: 0.7233616937703156, 5: 0.7736621239584691, 10: 0.7736621239584691}"
20,"{1: 0.01900005340576172, 2: 0.018000125885009766, 5: 0.026000022888183594, 10: 0.014000177383422852}",6,"{1: 0.6886713967992117, 2: 0.7687711664198243, 5: 0.8186146834044977, 10: 0.8215100532919005}"
21,"{1: 0.03299999237060547, 2: 0.029000043869018555, 5: 0.003000020980834961, 10: 0.003000020980834961}",3,"{1: 0.4999667916933303, 2: 0.6036603403443047, 5: 0.6039693690331019, 10: 0.6039693690331019}"
22,"{1: 0.009999990463256836, 2: 0.01399993896484375, 5: 0.002000093460083008, 10: 0.0019998550415039062}",4,"{1: 0.46821563862252275, 2: 0.544485953157777, 5: 0.5840008396636683, 10: 0.5840008396636683}"
23,"{1: 0.009999990463256836, 2: 0.012000083923339844, 5: 0.003000020980834961, 10: 0.002000093460083008}",10,"{1: 0.568434756965498, 2: 0.6612640410199914, 5: 0.7002654382794303, 10: 0.7002654382794303}"
24,"{1: 0.014000177383422852, 2: 0.032000064849853516, 5: 0.0019998550415039062, 10: 0.003999948501586914}",5,"{1: 0.4611381704771727, 2: 0.5457819777950649, 5: 0.5870423119027616, 10: 0.5870423119027617}"
25,"{1: 0.0070002079010009766, 2: 0.012000083923339844, 5: 0.002000093460083008, 10: 0.003000020980834961}",3,"{1: 0.4624609715593937, 2: 0.5374709766208696, 5: 0.5639239449897495, 10: 0.5639239449897495}"
26,"{1: 0.007999897003173828, 2: 0.009000062942504883, 5: 0.0009999275207519531, 10: 0.0009999275207519531}",4,"{1: 0.5504207042118355, 2: 0.625269768748903, 5: 0.6387336447048173, 10: 0.6387336447048173}"
27,"{1: 0.006999969482421875, 2: 0.007999897003173828, 5: 0.0009999275207519531, 10: 0.003000020980834961}",3,"{1: 0.3713707255124445, 2: 0.4568470345607166, 5: 0.46665627380104824, 10: 0.46665627380104824}"
28,"{1: 0.007999897003173828, 2: 0.007999897003173828, 5: 0.0019998550415039062, 10: 0.0009999275207519531}",3,"{1: 0.3985818607466571, 2: 0.4756202366592778, 5: 0.5130263831246537, 10: 0.5130263831246537}"
29,"{1: 0.00800013542175293, 2: 0.003000020980834961, 5: 0.0009999275207519531, 10: 0.003000020980834961}",10,"{1: 0.5722708557427066, 2: 0.686134843264297, 5: 0.686134843264297, 10: 0.686134843264297}"
30,"{1: 0.004999876022338867, 2: 0.010999917984008789, 5: 0.002000093460083008, 10: 0.0009999275207519531}",3,"{1: 0.4586099162005257, 2: 0.4702525404785298, 5: 0.476293526591058, 10: 0.476293526591058}"
31,"{1: 0.008999824523925781, 2: 0.010999917984008789, 5: 0.003000020980834961, 10: 0.004000186920166016}",3,"{1: 0.5852970225283178, 2: 0.6696113107292608, 5: 0.7034142605390751, 10: 0.7034142605390751}"
