Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
25,0.011999845504760742,"[0.9877999996924416, 0.9854453800522691, 0.9845015812674391, 0.9840635635082193, 0.9838492213696526, 0.98374313534596, 0.9836900923341132]","[0.982718769481855, 0.9834236437609897, 0.9836193642059613, 0.9836304043873578, 0.9836370493222667, 0.9836370493222667, 0.9836370493222667]","[0.0004994935173079538, 0.0002497467586539769, 0.00012487337932698845, 6.243668966349422e-05, 3.121834483174711e-05, 1.5609172415873556e-05, 7.804586207936778e-06]",0.9836370493222667
26,0.003999948501586914,"[0.9892778753407057, 0.9873277047268485, 0.9864296482209385, 0.9859965712059852, 0.985782207730127, 0.9856758727150724, 0.9856227052075449]","[0.9849621430361611, 0.985481893721869, 0.9855634941910315, 0.9855634941910315, 0.9855695377000171, 0.9855695377000171, 0.9855695377000171]","[0.0004997767211299776, 0.0002498883605649888, 0.0001249441802824944, 6.24720901412472e-05, 3.12360450706236e-05, 1.56180225353118e-05, 7.8090112676559e-06]",0.9855695377000171
27,0.0,"[0.9895383744644878, 0.986963039418829, 0.9858970964581276, 0.9853994422457149, 0.9851580859179148, 0.9850390702882355, 0.9849795624733956]","[0.9833756306659542, 0.9847322952234605, 0.9848762550060568, 0.9849160344243979, 0.9849200546585556, 0.9849200546585556, 0.9849200546585556]","[0.0004998065183767962, 0.0002499032591883981, 0.00012495162959419906, 6.247581479709953e-05, 3.1237907398549765e-05, 1.5618953699274882e-05, 7.809476849637441e-06]",0.9849200546585556
28,0.009999990463256836,"[0.9883525549636235, 0.9859617237298621, 0.9849151845157251, 0.9844446488866888, 0.9842187585168883, 0.9841089697488344, 0.9840540753648074]","[0.9831332858623019, 0.9837710109729114, 0.9839576099736645, 0.9839849114216819, 0.9839991809807808, 0.9839991809807808, 0.9839991809807808]","[0.0004999285745586814, 0.0002499642872793407, 0.00012498214363967035, 6.249107181983518e-05, 3.124553590991759e-05, 1.5622767954958794e-05, 7.811383977479397e-06]",0.9839991809807808
29,0.0,"[0.9883322575718303, 0.9860597597266145, 0.9850882733403207, 0.9846410287096311, 0.9844222008313652, 0.9843127868922316, 0.9842580799226653]","[0.9829339567555652, 0.9840143643714198, 0.9841869187880042, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986]","[0.0004999492829051593, 0.00024997464145257967, 0.00012498732072628983, 6.249366036314492e-05, 3.124683018157246e-05, 1.562341509078623e-05, 7.811707545393115e-06]",0.9842033729530986
30,0.015999794006347656,"[0.988495553390011, 0.9863383291381485, 0.985417073655115, 0.9849689731089117, 0.9847543054881193, 0.984648002652357, 0.984595992223532]","[0.9836151462565679, 0.9844672755846013, 0.984508864477789, 0.9845396378673262, 0.9845396378673262, 0.9845426642918423, 0.9845442695297923]","[0.000499829766608229, 0.0002499148833041145, 0.00012495744165205724, 6.247872082602862e-05, 3.123936041301431e-05, 1.5619680206507155e-05, 7.809840103253578e-06]",0.9845442695297923
31,0.010999917984008789,"[0.9892934475034045, 0.9872060116070618, 0.9862993115831076, 0.9858666481706911, 0.9856508918225464, 0.9855430136484741, 0.9854890745614379]","[0.9846406564991398, 0.9852919673105683, 0.9854268787217639, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019]","[0.0004998731092441831, 0.00024993655462209155, 0.00012496827731104578, 6.248413865552289e-05, 3.1242069327761444e-05, 1.5621034663880722e-05, 7.810517331940361e-06]",0.9854351354744019
32,0.008999824523925781,"[0.989973588439854, 0.9878774748860981, 0.986923123111448, 0.9864635095142313, 0.9862390364730009, 0.9861302907551242, 0.9860763632150518]","[0.9852789901739671, 0.9859295042105524, 0.9859979380247782, 0.9860108342999774, 0.9860187666660766, 0.986022364291059, 0.9860229232533742]","[0.0004998463034125856, 0.0002499231517062928, 0.0001249615758531464, 6.24807879265732e-05, 3.12403939632866e-05, 1.56201969816433e-05, 7.81009849082165e-06]",0.9860229232533742
33,0.010999917984008789,"[0.9885177406934511, 0.9865349113887624, 0.9856002485041462, 0.985154219340451, 0.9849365041942288, 0.9848288163005675, 0.9847755446618404]","[0.9839403265537042, 0.9846330113430697, 0.9846881377752882, 0.9847173940117502, 0.9847206683330927, 0.9847222730231132, 0.9847222730231132]","[0.0004995695611915511, 0.00024978478059577554, 0.00012489239029788777, 6.244619514894388e-05, 3.122309757447194e-05, 1.561154878723597e-05, 7.805774393617986e-06]",0.9847222730231132
34,0.003000020980834961,"[0.9889530395352409, 0.9867978157605263, 0.9858306473429845, 0.9853573823575401, 0.9851255118342619, 0.9850116697834244, 0.9849557158925517]","[0.9842150179888689, 0.9848065432788888, 0.984876381856699, 0.9848918856410019, 0.9848949148350631, 0.9848984357544494, 0.9849000896941303]","[0.0004997247288044585, 0.00024986236440222926, 0.00012493118220111463, 6.246559110055731e-05, 3.123279555027866e-05, 1.561639777513933e-05, 7.808198887569664e-06]",0.9849000896941303
35,0.009999990463256836,"[0.9882749010081281, 0.9859567333648389, 0.984993004396382, 0.9845382022130879, 0.9843123127378166, 0.9841993680001816, 0.9841428956313634]","[0.9829117019719742, 0.9839758019381055, 0.9840629308810075, 0.984086423262546, 0.984086423262546, 0.984086423262546, 0.984086423262546]","[0.0004998833761270178, 0.0002499416880635089, 0.00012497084403175445, 6.248542201587722e-05, 3.124271100793861e-05, 1.5621355503969306e-05, 7.810677751984653e-06]",0.984086423262546
36,0.021000146865844727,"[0.9881960743156272, 0.9860274395651627, 0.9851289987490647, 0.9846882969305524, 0.9844706796907872, 0.9843618710709047, 0.9843074667609635]","[0.9832874302078571, 0.9842171909066842, 0.9842456017125067, 0.9842530624510221, 0.9842530624510221, 0.9842530624510221, 0.9842530624510221]","[0.0004998535597054893, 0.00024992677985274464, 0.00012496338992637232, 6.248169496318616e-05, 3.124084748159308e-05, 1.562042374079654e-05, 7.81021187039827e-06]",0.9842530624510221
37,0.013000011444091797,"[0.9897471886629222, 0.9876258948887257, 0.986692539792924, 0.9862424428468529, 0.9860235128862086, 0.9859140479058867, 0.9858593154157259]","[0.9849466519409332, 0.9856587255217807, 0.9857756533107481, 0.9858045829255646, 0.9858045829255646, 0.9858045829255646, 0.9858045829255646]","[0.0004999249769744957, 0.00024996248848724783, 0.00012498124424362392, 6.249062212181196e-05, 3.124531106090598e-05, 1.562265553045299e-05, 7.811327765226495e-06]",0.9858045829255646
38,0.013000011444091797,"[0.9877403760568426, 0.9854623050327949, 0.9844688000569319, 0.9839939459414807, 0.9837672044972506, 0.9836561439417439, 0.9836006136639904]","[0.9825727893860308, 0.9833639405033412, 0.9834905650290032, 0.9835354216473217, 0.9835450833862374, 0.9835450833862374, 0.9835450833862374]","[0.0004996453700985981, 0.00024982268504929905, 0.00012491134252464952, 6.245567126232476e-05, 3.122783563116238e-05, 1.561391781558119e-05, 7.806958907790595e-06]",0.9835450833862374
39,0.013000011444091797,"[0.9895817844917685, 0.987420994139594, 0.9864343309614152, 0.9859695165392525, 0.9857399894205376, 0.9856296413165645, 0.985574868067744]","[0.9850893059252513, 0.9853778259415947, 0.9855047021170898, 0.9855047021170898, 0.9855132739656053, 0.9855200948189233, 0.9855200948189233]","[0.0004997321034376321, 0.00024986605171881603, 0.00012493302585940802, 6.246651292970401e-05, 3.1233256464852004e-05, 1.5616628232426002e-05, 7.808314116213001e-06]",0.9855200948189233
40,0.0009999275207519531,"[0.9891256763185425, 0.986946091961488, 0.9860111004008077, 0.9855587646742843, 0.9853395184854883, 0.9852305432859438, 0.9851760556861717]","[0.984168465717369, 0.9849920527180644, 0.9850992162359993, 0.9851170613971089, 0.985121568086399, 0.985121568086399, 0.985121568086399]","[0.0004999618641995908, 0.0002499809320997954, 0.0001249904660498977, 6.249523302494886e-05, 3.124761651247443e-05, 1.5623808256237214e-05, 7.811904128118607e-06]",0.985121568086399
41,0.017999887466430664,"[0.9889949093795141, 0.9866848004760737, 0.9857055891207285, 0.9852427588571642, 0.9850148718832146, 0.9849045413262302, 0.984849699029479]","[0.983865176266774, 0.9846459974772582, 0.9847483248798289, 0.9847869849092649, 0.9847869849092649, 0.9847948567327268, 0.9847948567327268]","[0.0004999329721977237, 0.00024996648609886186, 0.00012498324304943093, 6.249162152471546e-05, 3.124581076235773e-05, 1.5622905381178866e-05, 7.811452690589433e-06]",0.9847948567327268
42,0.0070002079010009766,"[0.9888469866224991, 0.9865469015203352, 0.9855563261731162, 0.985089994961901, 0.9848652074044181, 0.9847557222174355, 0.9847021720120237]","[0.983571436970047, 0.9844936678519416, 0.9846135762714274, 0.9846333079614604, 0.9846432951561958, 0.9846473884917397, 0.9846490208271342]","[0.0004998691732392123, 0.00024993458661960613, 0.00012496729330980307, 6.248364665490153e-05, 3.1241823327450766e-05, 1.5620911663725383e-05, 7.810455831862692e-06]",0.9846490208271342
43,0.0019998550415039062,"[0.9883012112302485, 0.9861388943076143, 0.9851784840057008, 0.9847213395197427, 0.984501047609163, 0.9843968880611764, 0.9843462549448023]","[0.9833303002272444, 0.9842103331528311, 0.9842282583250257, 0.9842721019601901, 0.9842904244541154, 0.9842950437147561, 0.984295869661758]","[0.0004995727179424841, 0.00024978635897124205, 0.00012489317948562103, 6.244658974281051e-05, 3.1223294871405256e-05, 1.5611647435702628e-05, 7.805823717851314e-06]",0.984295869661758
44,0.0,"[0.9887555408193305, 0.9863101963110129, 0.9853129536015525, 0.9848433809662481, 0.9846153059071715, 0.9845031592152768, 0.9844470858693299]","[0.9831357829475512, 0.9841480814846525, 0.9843610940291159, 0.9843769917166612, 0.9843910125233827, 0.9843910125233827, 0.9843910125233827]","[0.0004999615707584992, 0.0002499807853792496, 0.0001249903926896248, 6.24951963448124e-05, 3.12475981724062e-05, 1.56237990862031e-05, 7.81189954310155e-06]",0.9843910125233827
45,0.023000001907348633,"[0.990276826631475, 0.9880717030352444, 0.9870721598665594, 0.9866157463933137, 0.986397627417197, 0.9862903868136539, 0.9862370458318129]","[0.9854885599508516, 0.985979489772415, 0.9861390340520116, 0.9861773343383495, 0.9861811255853633, 0.9861837048499722, 0.9861837048499722]","[0.0004999766904194897, 0.00024998834520974483, 0.00012499417260487241, 6.249708630243621e-05, 3.1248543151218104e-05, 1.5624271575609052e-05, 7.812135787804526e-06]",0.9861837048499722
46,0.003000020980834961,"[0.9903688451686659, 0.9882356082599898, 0.987310129553414, 0.9868652370045266, 0.9866427907300828, 0.9865322685721195, 0.9864773060565247]","[0.98588259296258, 0.9863018214515583, 0.9864203444556389, 0.9864203444556389, 0.9864203444556389, 0.9864223435409297, 0.9864223435409297]","[0.0004999886076699687, 0.00024999430383498437, 0.00012499715191749219, 6.249857595874609e-05, 3.1249287979373047e-05, 1.5624643989686523e-05, 7.812321994843262e-06]",0.9864223435409297
47,0.0,"[0.9897033261995105, 0.9871391923047684, 0.9859947942494791, 0.9854509789187099, 0.9851842208305495, 0.9850533088827554, 0.984988171085728]","[0.9841876798465393, 0.984749320907009, 0.9848979872786878, 0.984912261439591, 0.9849207162453324, 0.9849230332887006, 0.9849230332887006]","[0.000499551661220811, 0.0002497758306104055, 0.00012488791530520274, 6.244395765260137e-05, 3.1221978826300684e-05, 1.5610989413150342e-05, 7.805494706575171e-06]",0.9849230332887006
48,0.013000011444091797,"[0.9884834786551738, 0.9864637899223789, 0.9856183229057652, 0.9852268749645728, 0.9850353123441188, 0.9849400530013495, 0.9848926759906118]","[0.9839237755699857, 0.9847331443775553, 0.9848215177592003, 0.9848437497236646, 0.9848437497236646, 0.9848452989798735, 0.9848452989798735]","[0.0004995434606614312, 0.0002497717303307156, 0.0001248858651653578, 6.24429325826789e-05, 3.122146629133945e-05, 1.5610733145669724e-05, 7.805366572834862e-06]",0.9848452989798735
49,0.006000041961669922,"[0.9890721747667438, 0.9868015212157794, 0.9858577876903988, 0.9854069827049691, 0.9851934322475159, 0.9850881445897797, 0.9850366822290572]","[0.9839711443373489, 0.9847767946581253, 0.9849350837040076, 0.9849752668169531, 0.9849815906036027, 0.9849835438750352, 0.9849852213319548]","[0.0004998003980971988, 0.0002499001990485994, 0.0001249500995242997, 6.247504976214985e-05, 3.123752488107492e-05, 1.561876244053746e-05, 7.80938122026873e-06]",0.9849852213319548
50,0.0,"[0.98861745208635, 0.9865325356869734, 0.9856241774313008, 0.9851865945700705, 0.9849706488596877, 0.9848632771156285, 0.9848095912435991]","[0.9841156960188713, 0.9846669278938893, 0.9847478408127448, 0.9847526120486332, 0.9847559053715699, 0.9847559053715699, 0.9847559053715699]","[0.0004996707721154056, 0.0002498353860577028, 0.0001249176930288514, 6.24588465144257e-05, 3.122942325721285e-05, 1.5614711628606425e-05, 7.807355814303212e-06]",0.9847559053715699
51,0.012000083923339844,"[0.9890664947475724, 0.9867356480495699, 0.9857473102304939, 0.9852690224332726, 0.9850410492059325, 0.9849287125760791, 0.9848733364578349]","[0.9833843975122265, 0.9846607671034104, 0.9847788440486156, 0.9847983854289292, 0.9848163759462258, 0.9848163759462258, 0.984818026651496]","[0.0004999333295698019, 0.00024996666478490097, 0.00012498333239245048, 6.249166619622524e-05, 3.124583309811262e-05, 1.562291654905631e-05, 7.811458274528155e-06]",0.984818026651496
52,0.015000104904174805,"[0.9886809874979711, 0.9864140672225319, 0.985467874027595, 0.9850221230506209, 0.9848090965987402, 0.9847057580440676, 0.9846555645989304]","[0.983364324494352, 0.9844402525784529, 0.984552117632125, 0.9845837600650073, 0.9846007289854917, 0.9846040446050452, 0.9846062203135795]","[0.0004998724793992331, 0.0002499362396996166, 0.0001249681198498083, 6.248405992490414e-05, 3.124202996245207e-05, 1.5621014981226036e-05, 7.810507490613018e-06]",0.9846062203135795
53,0.004000186920166016,"[0.9894116805140863, 0.9871697967874691, 0.9861785825971741, 0.9857182152160843, 0.9854885112800832, 0.9853752204029667, 0.9853185749644087]","[0.9845752819489126, 0.9851375771427158, 0.9852578478349944, 0.9852578478349944, 0.9852619295258501, 0.9852619295258501, 0.9852619295258501]","[0.0004999127830919709, 0.00024995639154598543, 0.00012497819577299272, 6.248909788649636e-05, 3.124454894324818e-05, 1.562227447162409e-05, 7.811137235812045e-06]",0.9852619295258501
54,0.014000177383422852,"[0.9892965820811448, 0.9870409488431816, 0.9860592794082482, 0.98560522208581, 0.9853802485971541, 0.9852690017760433, 0.9852140872644347]","[0.9844702894388498, 0.9849968310630423, 0.9851511647633717, 0.9851511647633717, 0.9851564535752575, 0.9851591727528266, 0.9851591727528266]","[0.0004999030620880938, 0.0002499515310440469, 0.00012497576552202345, 6.248788276101172e-05, 3.124394138050586e-05, 1.562197069025293e-05, 7.810985345126465e-06]",0.9851591727528266
55,0.010999917984008789,"[0.988479966077603, 0.9860546889124228, 0.9850077837753426, 0.9845069590571294, 0.984264100395178, 0.9841457183946274, 0.9840866664054511]","[0.9827041963430042, 0.9838570126279055, 0.9839847164619764, 0.9840156000370845, 0.9840236214893647, 0.9840276144162753, 0.9840276144162753]","[0.0004995564350142692, 0.0002497782175071346, 0.0001248891087535673, 6.244455437678366e-05, 3.122227718839183e-05, 1.5611138594195914e-05, 7.805569297097957e-06]",0.9840276144162753
56,0.013000011444091797,"[0.9888652361362985, 0.9865453853527005, 0.9855699797280012, 0.9851287292193406, 0.9849089231200352, 0.98480029882186, 0.9847459866727724]","[0.9837262444854019, 0.9844867353705492, 0.9846705305132885, 0.9846882653385801, 0.9846916745236849, 0.9846916745236849, 0.9846916745236849]","[0.0004999076984945496, 0.0002499538492472748, 0.0001249769246236374, 6.24884623118187e-05, 3.124423115590935e-05, 1.5622115577954675e-05, 7.811057788977337e-06]",0.9846916745236849
57,0.0,"[0.9881266898594493, 0.9859146494338074, 0.9849715523845936, 0.984519086101027, 0.9842947871609106, 0.9841849468529904, 0.9841300266990304]","[0.9831869334141959, 0.9839452243224562, 0.9840649458257877, 0.9840703901486608, 0.9840751065450701, 0.9840751065450701, 0.9840751065450701]","[0.0004997878564677718, 0.0002498939282338859, 0.00012494696411694296, 6.247348205847148e-05, 3.123674102923574e-05, 1.561837051461787e-05, 7.809185257308935e-06]",0.9840751065450701
